Date,DIS,WMT,WBA,VZ,UNH,TRV,PG,NKE,MSFT,MRK,MMM,MCD,JPM,KO,JNJ,INTC,IBM,HON,HD,GS,CSCO,CVX,CAT,BA,AAPL,AMGN,AXP
2018-06-01,0.0010141432,0.00045242905999999994,0.0006145984,0.0002888143,0.0017318726000000002,0.00039584935,0.00026662648,-0.00048477947999999994,0.0010247678,6.651878e-05,0.0007762015,0.001007989,0.0012622476,0.00028312950000000003,0.0004839003,0.00045451522000000005,-0.00012537091999999998,0.0005364865,0.0007222295,0.000894472,0.00079645216,0.0009804219,0.00087566674,0.0009824336,0.00033022463,3.1337142e-05,0.0005820840599999999
2018-06-04,0.0010141432,0.00044493377,0.00061173737,0.0002835244,0.0016992837,0.00037963687999999993,0.00026150048,-0.00046874583,0.0010771005999999999,0.00027814507000000003,0.0007762015,0.0010133833,0.0012634099000000001,0.00025863945,0.00048194825999999994,0.00041344762,-0.00013026594999999999,0.0005224198,0.00071939826,0.0009025484300000001,0.0007865875999999999,0.0009701252,0.0008985102,0.0009923726,0.0003440976,1.92523e-05,0.00059972703
2018-06-05,0.0010141432,0.00043783337,0.0006116628599999999,0.00027827919,0.001687035,0.00036750734,0.0002553016,-0.0004608631,0.0011505485,0.00041782856,0.0007762015,0.0010106563999999999,0.001262024,0.00022936612,0.00048810244000000005,0.0003798902,-0.00013102591,0.0005104393,0.0007057339,0.0009180605400000001,0.00078597665,0.0009532273,0.0009209960699999999,0.0010011345,0.00036756694,5.468726e-06,0.0006153881500000001
2018-06-06,0.0010141432,0.00043243169999999996,0.00061291456,0.00027553737,0.0016885102,0.00035831332000000005,0.00025074930000000003,-0.00044241547999999996,0.0012152195,0.00028544664,0.0007762015,0.0010097474,0.0012545735,0.00021221488999999998,0.00049211085,0.00035206974,-0.00013322382999999999,0.0005056113,0.00070635974,0.0009380132000000001,0.0007932484,0.0009317994,0.00095131993,0.0010131597999999999,0.00039364398,-5.416572e-06,0.0006164163400000001
2018-06-07,0.0010141432,0.00042800605000000005,0.00061264634,0.00027304887999999997,0.0017024129999999998,0.00034849345999999996,0.00024851412,-0.00044377148,0.0012470037,7.7456236e-05,0.00077620894,0.0010053813,0.0012366921,0.00021202117,0.0004916041999999999,0.00032836199999999996,-0.00013895333,0.0004939437000000001,0.0006996542,0.0009561181,0.0007972567999999999,0.00090424716,0.0009804368,0.0010308921,0.00041741133,-1.5124679e-05,0.00059996545
2018-06-08,0.0010141432,0.00042576343,0.00061151385,0.00026908517000000004,0.0017185210999999998,0.00035497546,0.0002494082,-0.00045494735,0.0012611002,0.00015509129,0.00077620894,0.0009964854,0.0012214035,0.00022678077,0.00048668683,0.00032053888,-0.00014528632,0.00047884880999999994,0.00069986284,0.00097331405,0.000803262,0.0009038299300000001,0.001005128,0.0010435134,0.00043597817000000003,-1.7419457e-05,0.0005816072
2018-06-11,0.0010141432,0.00042425096,0.0006122887,0.00026458502,0.0017225891,0.00036489964,0.00025200099999999996,-0.00046013295999999994,0.0012675225999999999,9.319186e-05,0.00077620894,0.0009914488,0.0012085736,0.00024238229,0.00048419833,0.0003401339,-0.00015351176,0.00046497583,0.0007136464,0.00099051,0.00080913305,0.00090023875,0.0010271072,0.0010630637,0.00047399104000000005,-2.0168722e-05,0.0005666762599999999
2018-06-12,0.0010141432,0.00042572617999999995,0.0006146281999999999,0.00026035310000000004,0.0017170012,0.00037181377,0.00025443732999999997,-0.0004726499299999999,0.0012574345,6.946921e-05,0.00077620894,0.0009861887,0.0011961162,0.00025564432,0.00048401952000000007,0.00038836896,-0.00016254187,0.00045098364,0.0007260889,0.0009977072,0.0008088648299999999,0.000889048,0.0010513663,0.0010860264,0.0004954934,-2.4437904e-05,0.0005531013
2018-06-13,0.0010141432,0.0004297346,0.00061784685,0.00025558472,0.0017063617999999998,0.00037243962,0.00025581568,-0.0005071312,0.001230076,6.258488e-05,0.00077622384,0.0009780079,0.0011821687,0.00026606023,0.00047832726999999997,0.00045894085999999995,-0.00017172843,0.00044035912000000004,0.00073468685,0.0009895414,0.0008074641000000001,0.00088725984,0.0010792464,0.0011082292,0.0005066395,-2.8565526e-05,0.0005364269
2018-06-14,0.0010141432,0.00043188035000000006,0.0006222725,0.00025048852000000003,0.0016986579,0.0003658384,0.00025634468,-0.0005120337,0.0011944026,0.0001784265,0.00077622384,0.00097094476,0.0011711269999999999,0.00026547164,0.00047761202000000006,0.0005335361,-0.0001821518,0.00042700767999999997,0.0007403046000000001,0.0009783059,0.0008018613000000001,0.00092570484,0.0011121780000000001,0.0011101365,0.0005217343599999999,-3.398955e-05,0.00051660836
